Price,Close,High,Low,Open,Volume
Ticker,^FTSE,^FTSE,^FTSE,^FTSE,^FTSE
Date,,,,,
1985-01-01,1280.800048828125,1306.4000244140625,1199.5999755859375,1230.4000244140625,0
1985-02-01,1259.699951171875,1300.300048828125,1256.300048828125,1277.300048828125,0
1985-03-01,1277.0,1309.9000244140625,1247.699951171875,1257.5999755859375,0
1985-04-01,1291.0,1313.0,1266.5,1277.0,0
1985-05-01,1313.0,1344.800048828125,1293.699951171875,1293.699951171875,0
1985-06-01,1234.9000244140625,1336.699951171875,1221.5,1315.0,0
1985-07-01,1261.699951171875,1266.800048828125,1215.4000244140625,1234.9000244140625,0
1985-08-01,1340.800048828125,1341.0999755859375,1271.0,1271.699951171875,0
1985-09-01,1290.0,1344.699951171875,1269.5,1340.300048828125,0
1985-10-01,1377.199951171875,1379.0999755859375,1292.800048828125,1292.800048828125,0
1985-11-01,1439.0999755859375,1460.699951171875,1371.5,1377.199951171875,0
1985-12-01,1412.5999755859375,1439.5999755859375,1361.0,1439.0999755859375,0
1986-01-01,1435.0,1436.300048828125,1365.699951171875,1412.5999755859375,0
1986-02-01,1543.9000244140625,1555.199951171875,1421.5,1433.4000244140625,0
1986-03-01,1668.800048828125,1690.0999755859375,1529.800048828125,1543.9000244140625,0
1986-04-01,1660.5,1721.699951171875,1603.699951171875,1671.0999755859375,0
1986-05-01,1602.800048828125,1657.699951171875,1554.0,1645.4000244140625,0
1986-06-01,1649.800048828125,1649.800048828125,1563.199951171875,1602.800048828125,0
1986-07-01,1558.0999755859375,1663.5999755859375,1536.800048828125,1652.5,0
1986-08-01,1661.199951171875,1662.0,1519.199951171875,1558.0999755859375,0
1986-09-01,1555.800048828125,1694.300048828125,1539.199951171875,1661.199951171875,0
1986-10-01,1632.0999755859375,1632.199951171875,1559.0,1560.9000244140625,0
1986-11-01,1636.699951171875,1667.199951171875,1596.199951171875,1634.4000244140625,0
1986-12-01,1679.0,1679.199951171875,1607.800048828125,1636.699951171875,0
1987-01-01,1808.300048828125,1817.0,1674.5,1679.0,0
1987-02-01,1979.199951171875,1995.300048828125,1821.5,1821.5,0
1987-03-01,1997.5999755859375,2064.5,1965.699951171875,1981.300048828125,0
1987-04-01,2050.5,2050.89990234375,1903.300048828125,1997.5999755859375,0
1987-05-01,2203.0,2216.60009765625,2058.800048828125,2061.699951171875,0
1987-06-01,2284.10009765625,2327.60009765625,2200.89990234375,2209.699951171875,0
1987-07-01,2360.89990234375,2455.199951171875,2265.5,2273.39990234375,0
1987-08-01,2249.699951171875,2356.199951171875,2157.199951171875,2356.199951171875,0
1987-09-01,2366.0,2375.89990234375,2238.60009765625,2249.699951171875,0
1987-10-01,1749.800048828125,2399.89990234375,1598.0,2372.10009765625,0
1987-11-01,1579.9000244140625,1737.0999755859375,1515.0,1737.0999755859375,0
1987-12-01,1713.9000244140625,1792.300048828125,1562.0999755859375,1579.9000244140625,0
1988-01-01,1790.800048828125,1810.300048828125,1711.5,1778.4000244140625,0
1988-02-01,1768.800048828125,1807.300048828125,1690.0,1790.800048828125,0
1988-03-01,1742.5,1855.699951171875,1739.0,1781.0,0
1988-04-01,1802.199951171875,1826.800048828125,1725.4000244140625,1737.800048828125,0
1988-05-01,1784.5,1809.699951171875,1752.0,1802.199951171875,0
1988-06-01,1857.5999755859375,1892.199951171875,1798.9000244140625,1798.9000244140625,0
1988-07-01,1853.5999755859375,1883.5,1826.699951171875,1857.5999755859375,0
1988-08-01,1753.5999755859375,1885.199951171875,1745.199951171875,1860.5,0
1988-09-01,1826.5,1830.5999755859375,1717.699951171875,1743.9000244140625,0
1988-10-01,1852.4000244140625,1870.800048828125,1787.0,1817.4000244140625,0
1988-11-01,1792.4000244140625,1860.0,1775.0,1853.0999755859375,0
1988-12-01,1793.0999755859375,1804.9000244140625,1737.9000244140625,1787.199951171875,0
1989-01-01,2051.800048828125,2072.699951171875,1782.4000244140625,1790.699951171875,0
1989-02-01,2002.4000244140625,2106.10009765625,1983.300048828125,2051.800048828125,0
1989-03-01,2075.0,2132.300048828125,2014.300048828125,2014.300048828125,0
1989-04-01,2118.0,2134.89990234375,2001.5,2075.0,0
1989-05-01,2114.39990234375,2209.699951171875,2092.300048828125,2114.800048828125,0
1989-06-01,2151.0,2225.60009765625,2076.5,2114.39990234375,0
1989-07-01,2297.0,2319.89990234375,2151.699951171875,2151.699951171875,0
1989-08-01,2387.89990234375,2404.5,2284.5,2297.0,0
1989-09-01,2299.39990234375,2435.699951171875,2278.300048828125,2392.10009765625,0
1989-10-01,2142.60009765625,2331.10009765625,2029.699951171875,2289.300048828125,0
1989-11-01,2276.800048828125,2276.800048828125,2141.699951171875,2142.60009765625,0
1989-12-01,2422.699951171875,2422.800048828125,2296.199951171875,2296.199951171875,0
1990-01-01,2337.300048828125,2479.39990234375,2250.5,2425.5,0
1990-02-01,2255.39990234375,2356.199951171875,2208.39990234375,2343.60009765625,0
1990-03-01,2247.89990234375,2306.89990234375,2211.800048828125,2246.199951171875,0
1990-04-01,2103.39990234375,2247.5,2084.39990234375,2245.0,0
1990-05-01,2345.10009765625,2357.199951171875,2111.39990234375,2111.39990234375,0
1990-06-01,2374.60009765625,2430.5,2332.699951171875,2345.10009765625,0
1990-07-01,2326.199951171875,2430.60009765625,2311.5,2374.60009765625,0
1990-08-01,2162.800048828125,2347.89990234375,2051.199951171875,2329.300048828125,0
1990-09-01,1990.199951171875,2176.699951171875,1974.0999755859375,2163.5,0
1990-10-01,2050.300048828125,2283.699951171875,2006.300048828125,2006.300048828125,0
1990-11-01,2149.39990234375,2191.699951171875,2011.199951171875,2049.300048828125,0
1990-12-01,2143.5,2192.89990234375,2138.0,2159.699951171875,0
1991-01-01,2170.300048828125,2182.10009765625,2052.300048828125,2142.89990234375,0
1991-02-01,2380.89990234375,2388.39990234375,2155.60009765625,2168.5,0
1991-03-01,2456.5,2527.10009765625,2368.39990234375,2374.89990234375,0
1991-04-01,2486.199951171875,2555.300048828125,2438.60009765625,2440.199951171875,0
1991-05-01,2499.5,2554.89990234375,2444.60009765625,2487.39990234375,0
1991-06-01,2414.800048828125,2543.0,2414.699951171875,2497.699951171875,0
1991-07-01,2588.800048828125,2612.39990234375,2416.89990234375,2416.89990234375,0
1991-08-01,2645.699951171875,2648.199951171875,2495.699951171875,2586.199951171875,0
1991-09-01,2621.699951171875,2683.699951171875,2564.5,2653.89990234375,0
1991-10-01,2566.0,2649.89990234375,2511.89990234375,2643.39990234375,0
1991-11-01,2420.199951171875,2580.300048828125,2405.60009765625,2559.0,0
1991-12-01,2493.10009765625,2494.0,2327.0,2412.39990234375,0
1992-01-01,2571.199951171875,2580.199951171875,2441.300048828125,2483.10009765625,0
1992-02-01,2562.10009765625,2572.800048828125,2500.60009765625,2563.699951171875,0
1992-03-01,2440.10009765625,2574.800048828125,2427.89990234375,2552.199951171875,0
1992-04-01,2654.10009765625,2673.5,2374.10009765625,2384.10009765625,0
1992-05-01,2707.60009765625,2744.5,2650.5,2660.10009765625,0
1992-06-01,2521.199951171875,2717.39990234375,2502.199951171875,2697.699951171875,0
1992-07-01,2399.60009765625,2529.39990234375,2347.39990234375,2525.60009765625,0
1992-08-01,2312.60009765625,2434.800048828125,2260.60009765625,2390.800048828125,0
1992-09-01,2553.0,2657.300048828125,2282.39990234375,2313.0,0
1992-10-01,2658.300048828125,2681.89990234375,2446.10009765625,2558.39990234375,0
1992-11-01,2778.800048828125,2784.10009765625,2649.10009765625,2657.10009765625,0
1992-12-01,2846.5,2848.89990234375,2704.199951171875,2772.0,0
1993-01-01,2807.199951171875,2870.199951171875,2727.60009765625,2841.800048828125,0
1993-02-01,2868.0,2900.10009765625,2794.199951171875,2821.89990234375,0
1993-03-01,2878.699951171875,2980.89990234375,2833.0,2861.89990234375,0
1993-04-01,2813.10009765625,2897.5,2773.699951171875,2871.300048828125,0
