Price,Close,High,Low,Open,Volume
Ticker,SWDA.L,SWDA.L,SWDA.L,SWDA.L,SWDA.L
Date,,,,,
2009-09-01,2480.64599609375,0.0,0.0,2482.052001953125,0
2009-10-01,2433.261962890625,0.0,0.0,2425.944091796875,0
2009-11-01,1542.1400146484375,1548.1099853515625,1486.9200439453125,2440.5791015625,3091
2009-12-01,1615.5899658203125,1615.5899658203125,1542.1400146484375,1542.1400146484375,5983
2010-01-01,1548.5699462890625,1658.219970703125,1548.5699462890625,1615.5899658203125,23206
2010-02-01,1646.280029296875,1648.800048828125,1552.3699951171875,1567.949951171875,13787
2010-03-01,1776.0699462890625,1787.47998046875,1687.2900390625,1687.2900390625,55131
2010-04-01,1745.06005859375,1778.5899658203125,1734.18994140625,1755.780029296875,39587
2010-05-01,1665.260009765625,1745.06005859375,1601.72998046875,1745.06005859375,26371
2010-06-01,1549.1400146484375,1679.949951171875,1549.1400146484375,1630.0,14987
2010-07-01,1597.0,1624.6199951171875,1541.0,1549.1400146484375,9410
2010-08-01,1567.0,1623.0,1547.0,1597.0,56644
2010-09-01,1671.0,1678.0,1577.0,1577.0,360591
2010-10-01,1706.0,1755.949951171875,1662.0,1671.0,548440
2010-11-01,1735.0,1748.0,1700.0,1706.0,44080
2010-12-01,1851.0,1856.0,1740.0,1740.0,46461
2011-01-01,1823.0,1866.0,1818.0,1851.0,202001
2011-02-01,1857.5,1880.0,1827.0,1827.0,78480
2011-03-01,1863.5,1868.0400390625,1742.0999755859375,1864.0,363460
2011-04-01,1868.5,1876.0,1806.1290283203125,1876.0,336572
2011-05-01,1852.5,1886.949951171875,1824.0,1868.5,312596
2011-06-01,1872.5,1858.0,1778.6650390625,1858.0,1851555
2011-07-01,1800.5,1915.0,1793.0,1887.0,343365
2011-08-01,1693.0,1800.0,1541.0699462890625,1800.0,2503470
2011-09-01,1613.5,1698.0,1572.199951171875,1685.0,489535
2011-10-01,1721.5,1775.4000244140625,1231.572021484375,1581.0,261658
2011-11-01,1707.5,1721.5,1605.0,1686.4000244140625,1289919
2011-12-01,1736.5,1744.0,1679.4000244140625,1713.0,224265
2012-01-01,1789.5,1822.0,1736.5,1736.5,169300
2012-02-01,1859.5,1906.0999755859375,1810.0,1810.0,3449424
2012-03-01,1879.5,1914.0,1839.699951171875,1869.0,1179041
2012-04-01,1827.5,1896.0,1797.0,1879.0,740896
2012-05-01,1748.0,1838.0,1720.0,1833.5,147012
2012-06-01,1808.0,1810.0,1727.5,1746.0,80977
2012-07-01,1843.0,1849.1500244140625,1785.199951171875,1821.0,840578
2012-08-01,1865.5,1904.0999755859375,1841.1500244140625,1855.0,139676
2012-09-01,1875.0,1923.699951171875,1845.9000244140625,1865.0,17014
2012-10-01,1869.0,1928.0,1860.0,1893.0,453965
2012-11-01,1906.0,1906.0,1820.0,1889.0,1241835
2012-12-01,1896.0,1934.0,1887.0,1907.0,32253
2013-01-01,2063.0,2090.300048828125,1936.4000244140625,1945.0,694751
2013-02-01,2158.0,2180.300048828125,2065.60009765625,2079.0,751700
2013-03-01,2202.5,2251.300048828125,2159.0,2159.0,255879
2013-04-01,2210.5,2226.300048828125,2154.0,2202.5,252656
2013-05-01,2299.0,2393.0,2204.0,2216.0,382417
2013-06-01,2221.0,2267.5,2133.0,2248.0,670710
2013-07-01,2341.0,2351.0,2203.60009765625,2220.0,75985
2013-08-01,2242.5,2374.300048828125,2237.0,2371.0,686582
2013-09-01,2253.0,2325.0,2251.10009765625,2255.0,493424
2013-10-01,2368.0,2382.0,2244.0,2262.0,316837
2013-11-01,2361.0,2397.0,2339.0,2368.0,185098
2013-12-01,2376.0,2407.39404296875,2298.0,2350.0,265873
2014-01-01,2305.5,2408.969970703125,2279.06005859375,2376.0,130242
2014-02-01,2379.5,2390.0,2269.0400390625,2310.0,436432
2014-03-01,2390.5,2407.89990234375,2340.050048828125,2359.0,307389
2014-04-01,2382.0,2433.9599609375,2328.030029296875,2405.0,367981
2014-05-01,2447.5,2452.9599609375,2363.530029296875,2393.0,116654
2014-06-01,2448.5,2484.949951171875,2401.0,2459.0,386673
2014-07-01,2444.5,2484.969970703125,2420.47509765625,2453.0,4346439
2014-08-01,2532.5,2544.510009765625,2386.5,2420.0,412336
2014-09-01,2534.0,2623.0,2510.0,2528.0,485196
2014-10-01,2579.0,2591.0,2351.659912109375,2528.0,736101
2014-11-01,2694.0,2696.1201171875,2550.0,2588.0,1014262
2014-12-01,2675.0,2722.0,2527.8798828125,2676.0,513406
2015-01-01,2709.0,2774.1201171875,2632.0,2675.0,873783
2015-02-01,2786.5,2995.590087890625,2690.0,2704.0,2133119
2015-03-01,2861.5,2924.5,2759.0,2794.0,1115773
2015-04-01,2830.5,2962.0,2811.0,2867.0,1569379
2015-05-01,2843.0,2908.0,2760.0,2833.0,2397216
2015-06-01,2703.0,2869.10791015625,2696.56005859375,2857.0,3119185
2015-07-01,2774.5,2811.56005859375,2705.56005859375,2718.0,1747529
2015-08-01,2647.5,2788.77294921875,2400.0,2760.0,2990715
2015-09-01,2566.5,2646.340087890625,2487.341064453125,2627.0,6980821
2015-10-01,2720.0,2753.0,2456.320068359375,2603.0,3575239
2015-11-01,2782.5,3027.02490234375,2676.75,2710.0,3785017
2015-12-01,2783.5,2826.0,2637.0400390625,2793.0,3210805
2016-01-01,2701.5,2783.5,2557.0,2783.5,2484182
2016-02-01,2768.0,2790.0,2488.449951171875,2715.0,1862009
2016-03-01,2846.5,2882.6201171875,2751.25,2755.0,7274873
2016-04-01,2824.5,2954.570068359375,2824.0,2831.0,3526481
2016-05-01,2873.0,2879.0,2773.3798828125,2824.5,1446319
2016-06-01,3101.0,3102.73193359375,2828.43994140625,2886.0,2765726
2016-07-01,3242.5,3276.52001953125,3101.282958984375,3110.0,3099437
2016-08-01,3289.0,3394.0,3185.0,3267.0,2391121
2016-09-01,3339.5,3366.47998046875,3192.10107421875,3290.0,1077192
2016-10-01,3492.0,3554.0,3361.0,3362.0,1440668
